#chrom	pos	DESC	normal	a	b	c	d	e	f	g	h	i	j
chr1	21679222	NBPF3	0	0.00128	0.283	0.319	0.346	0.313	0.00077	0.00154	0.00106	0.00124	0.00122
chr1	48974581	AGBL4_BEND5	0	0.467	0.449	0.507	0.546	0.517	0.341	0.238	0.328	0.306	0.248
chr1	92874412	EVI5	0	0.156	0.154	0.16	0.171	0.164	0.00133	0.000298	0.00093	0.00116	0.00218
chr1	110685490	RBM15	0	0.263	0.194	0.183	0.211	0.166	0.0015	0.00203	0.00196	0.0011	0.00787
chr1	149541366	PI4KB	0	0.243	0.249	0.306	0.316	0.335	0.00129	0.00232	0.00702	0	0.00151
chr1	205205733	FCAMR	0	0.269	0.204	0.238	0.245	0.226	0.212	0.2	0.215	0.227	0.123
chr10	1139722	WDR37	0	0.255	0.178	0.109	0.159	0.216	0.192	0.217	0.161	0.269	0.145
chr10	101411323	ENTPD7	0	0.385	0.35	0.346	0.383	0.372	0.00209	0.00239	0.00333	0.00373	0.00137
chr11	1219791	MUC5B	0	0.211	0.224	0.283	0.289	0.241	0.00404	0.00542	0	0.00641	0.003
chr11	26543869	ANO3_MUC15	0	0.269	0.23	0.268	0.283	0.275	0.00388	0.0035	0.00257	0.00332	0.00361
chr11	111099915	SIK2	0	0.0723	0.234	0.245	0.253	0.232	0.138	0.125	0.133	0.148	0.0876
chr11	119817694	ARHGEF12	0	0.00333	0.198	0.251	0.227	0.304	0.00239	0.00255	0.00447	0.00285	0.00411
chr12	47516803	DDX23	0	0.407	0.223	0.258	0.298	0.3	0.187	0.16	0.179	0.2	0.149
chr12	55029528	STAT2	0	0.436	0.26	0.335	0.361	0.31	0	0.00237	0.00105	0.0027	0.00189
chr13	45550944	CPB2	0	0.12	0.0899	0.0897	0.094	0.107	0	0.00155	0.000433	0.00161	0.00097
chr13	76570105	MYCBP2	0	0.203	0.17	0.198	0.243	0.212	0.000726	0.000503	0.00204	0	0.00103
chr14	67263548	RDH12	0	0.39	0.324	0.393	0.371	0.358	0.00125	0.000943	0.00125	0.000853	0
chr15	31893018	RYR3	0	0.223	0.185	0.193	0.205	0.205	0.000864	0.00367	0.000621	0.00218	0
